"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Monarka-","6","24","1","1","1","0","228.4125","0","1","0","2","byplayer","1","0","110.52177","7","1172","2344.593398","2321.966","-","22.627398","6-Monarka--Trazzgo"
"Trazzgo","6","6","4","2","1","3","461.25","1","3","4","3","byplayer","0","0","153.2449","7","1172","2455.18964","2416.365","-","38.82464","6-Monarka--Trazzgo"
"jkm11_23","7","53","0","0","0","0","0","0","0","1","0","byplayer","0","0","-","0","1654","2777.46473","70.41003","-","2707.0547","7-jkm11_23-Skumz13_37-umi_naion-JayMA_X0919"
"Skumz13_37","7","54","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","0","737","214.17023","214.17023","-","-","7-jkm11_23-Skumz13_37-umi_naion-JayMA_X0919"
"umi_naion","7","56","0","0","0","0","64.23639","0","0","0","0","byplayer","0","0","-","0","698","89.47095","89.47095","-","-","7-jkm11_23-Skumz13_37-umi_naion-JayMA_X0919"
"JayMA_X0919","7","55","0","0","0","0","25.108332","0","0","0","0","byplayer","0","0","-","0","703","193.05421","193.05421","-","-","7-jkm11_23-Skumz13_37-umi_naion-JayMA_X0919"
"HardFabio_-","8","13","2","0","1","0","225.44946","0","3","0","0","byplayer","0","0","51.90866","9","1006","1943.65198","1837.1345","-","106.51748","8-HardFabio_--BlazeSmoke-Educhuck-ClasherGaming"
"BlazeSmoke","8","57","0","0","0","0","35.76502","1","0","0","1","byplayer","0","0","-","15","1010","2031.13867","1930.582","-","100.55667","8-HardFabio_--BlazeSmoke-Educhuck-ClasherGaming"
"ClasherGaming","8","9","3","1","1","0","541.1826","0","1","3","2","byplayer","0","0","49.350754","9","1113","1722.24212","1619.9525","-","102.28962","8-HardFabio_--BlazeSmoke-Educhuck-ClasherGaming"
"vargasfilho","9","14","2","0","2","1","169.41425","0","2","2","2","byplayer","0","0","15.697819","6","1069","2392.09422","2364.2485","-","27.84572","9-vargasfilho-Gavilanlopes"
"Gavilanlopes","9","10","3","0","1","0","178","0","0","8","2","byplayer","1","0","78.6685","10","1112","2325.936","2325.936","-","-","9-vargasfilho-Gavilanlopes"
"DS2783914135","10","58","0","0","0","0","219.67387","0","0","1","0","byplayer","0","0","-","0","1150","741.3367","741.3367","-","-","10-DS2783914135-oanglangKO4-IF__John-HS-JING1_003"
"oanglangKO4","10","26","1","1","1","0","151.04692","0","0","2","2","byzone","0","0","-","0","1616","2077.5978","1944.4602","-","133.1376","10-DS2783914135-oanglangKO4-IF__John-HS-JING1_003"
"IF__John-HS","10","25","1","1","1","0","156.90668","0","1","0","1","byplayer","0","0","37.517384","0","1616","2565.51238","2222.7542","-","342.75818","10-DS2783914135-oanglangKO4-IF__John-HS-JING1_003"
